ubicacion,key,precio,m2,rooms,bathroom,alcaldia,auction,page,property,operation
"La Hebrea, Miguel Hidalgo, Ciudad ...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 116, 108, 97, 104, 117, 97, 99, 32, 97, 100, 106, 117, 100, 105, 99, 97, 99, 105, 111, 110, 32, 108, 97, 97, 98, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 99, 105, 117, 100, 97, 100, 32]",1125457,2,190,0,TLAHUAC,False,MC,Departamentos,Venta
"La Hebrea, Miguel Hidalgo, Ciudad ...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 116, 108, 97, 104, 117, 97, 99, 32, 97, 100, 106, 117, 100, 105, 99, 97, 99, 105, 111, 110, 32, 108, 97, 97, 98, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 99, 105, 117, 100, 97, 100, 32]",1125457,2,190,0,TLAHUAC,False,MC,Departamentos,Venta
"La Hebrea, Miguel Hidalgo, Ciudad ...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 116, 108, 97, 104, 117, 97, 99, 32, 97, 100, 106, 117, 100, 105, 99, 97, 99, 105, 111, 110, 32, 108, 97, 97, 98, 108, 97, 32, 104, 101, 98, 114, 101, 97, 32, 109, 105, 103, 117, 101, 108, 32, 104, 105, 100, 97, 108, 103, 111, 32, 99, 105, 117, 100, 97, 100, 32]",1125457,2,190,0,TLAHUAC,False,MC,Departamentos,Venta
"Calle Del Carmen 5, Centro Histori...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 101, 110, 32, 116, 108, 225, 104, 117, 97, 99, 32, 101, 120, 99, 101, 108, 101, 110, 116, 101, 32, 111, 112, 111, 114, 116, 117, 110, 105, 100, 97, 100, 32, 100, 101, 32, 114, 101, 99, 117, 112, 101, 114, 97, 99, 105, 243, 110, 32, 98, 97, 110, 99, 97, 114, 105, 97, 32, 107, 103, 100, 105, 32, 99, 97, 108, 108, 101, 32, 100, 101, 108, 32, 99, 97, 114, 109, 101, 110, 32, 32, 99, 101, 110, 116, 114, 111, 32, 104, 105, 115, 116, 243, 114, 105]",640302,3,178,0,TLAHUAC,False,MC,Departamentos,Venta
"Calle Del Carmen 5, Centro Histori...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 101, 110, 32, 116, 108, 225, 104, 117, 97, 99, 32, 101, 120, 99, 101, 108, 101, 110, 116, 101, 32, 111, 112, 111, 114, 116, 117, 110, 105, 100, 97, 100, 32, 100, 101, 32, 114, 101, 99, 117, 112, 101, 114, 97, 99, 105, 243, 110, 32, 98, 97, 110, 99, 97, 114, 105, 97, 32, 107, 103, 100, 105, 32, 99, 97, 108, 108, 101, 32, 100, 101, 108, 32, 99, 97, 114, 109, 101, 110, 32, 32, 99, 101, 110, 116, 114, 111, 32, 104, 105, 115, 116, 243, 114, 105]",640302,3,178,0,TLAHUAC,False,MC,Departamentos,Venta
"Calle Del Carmen 5, Centro Histori...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 101, 110, 32, 116, 108, 225, 104, 117, 97, 99, 32, 101, 120, 99, 101, 108, 101, 110, 116, 101, 32, 111, 112, 111, 114, 116, 117, 110, 105, 100, 97, 100, 32, 100, 101, 32, 114, 101, 99, 117, 112, 101, 114, 97, 99, 105, 243, 110, 32, 98, 97, 110, 99, 97, 114, 105, 97, 32, 107, 103, 100, 105, 32, 99, 97, 108, 108, 101, 32, 100, 101, 108, 32, 99, 97, 114, 109, 101, 110, 32, 32, 99, 101, 110, 116, 114, 111, 32, 104, 105, 115, 116, 243, 114, 105]",640302,3,178,0,TLAHUAC,False,MC,Departamentos,Venta
"Calle Del Carmen 5, Centro Histori...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 101, 110, 32, 116, 108, 225, 104, 117, 97, 99, 32, 101, 120, 99, 101, 108, 101, 110, 116, 101, 32, 111, 112, 111, 114, 116, 117, 110, 105, 100, 97, 100, 32, 100, 101, 32, 114, 101, 99, 117, 112, 101, 114, 97, 99, 105, 243, 110, 32, 98, 97, 110, 99, 97, 114, 105, 97, 32, 107, 103, 100, 105, 32, 99, 97, 108, 108, 101, 32, 100, 101, 108, 32, 99, 97, 114, 109, 101, 110, 32, 32, 99, 101, 110, 116, 114, 111, 32, 104, 105, 115, 116, 243, 114, 105]",640302,3,178,0,TLAHUAC,False,MC,Departamentos,Venta
"Juventino Rosas 18, San Jose, Tlah...","[99, 97, 115, 97, 32, 101, 110, 32, 114, 101, 109, 97, 116, 101, 32, 101, 110, 32, 115, 97, 110, 32, 106, 111, 115, 101, 32, 116, 108, 97, 104, 117, 97, 99, 32, 97, 106, 117, 118, 101, 110, 116, 105, 110, 111, 32, 114, 111, 115, 97, 115, 32, 32, 115, 97, 110, 32, 106, 111, 115, 233, 32, 116, 108, 225, 104]",3601129,4,415,0,TLAHUAC,True,MC,Departamentos,Venta
"Juventino Rosas 18, San Jose, Tlah...","[99, 97, 115, 97, 32, 101, 110, 32, 114, 101, 109, 97, 116, 101, 32, 101, 110, 32, 115, 97, 110, 32, 106, 111, 115, 101, 32, 116, 108, 97, 104, 117, 97, 99, 32, 97, 106, 117, 118, 101, 110, 116, 105, 110, 111, 32, 114, 111, 115, 97, 115, 32, 32, 115, 97, 110, 32, 106, 111, 115, 233, 32, 116, 108, 225, 104]",3601129,4,415,0,TLAHUAC,True,MC,Departamentos,Venta
"Juventino Rosas 18, San Jose, Tlah...","[99, 97, 115, 97, 32, 101, 110, 32, 114, 101, 109, 97, 116, 101, 32, 101, 110, 32, 115, 97, 110, 32, 106, 111, 115, 101, 32, 116, 108, 97, 104, 117, 97, 99, 32, 97, 106, 117, 118, 101, 110, 116, 105, 110, 111, 32, 114, 111, 115, 97, 115, 32, 32, 115, 97, 110, 32, 106, 111, 115, 233, 32, 116, 108, 225, 104]",3601129,4,415,0,TLAHUAC,True,MC,Departamentos,Venta
